Time,EMG
0.12525,0.0133
0.1255,-0.0167
0.12575,-0.0183
0.126,-0.0483
0.12625,-0.0483
0.1265,-0.065
0.12675,-0.0667
0.127,-0.0617
0.12725,-0.06
0.1275,-0.0467
0.12775,-0.0467
0.128,-0.04
0.12825,-0.04
0.1285,-0.0383
0.12875,-0.04
0.129,-0.045
0.12925,-0.0433
0.1295,-0.0467
0.12975,-0.0467
0.13,-0.0433
0.13025,-0.0417
0.1305,-0.0367
0.13075,-0.0367
0.131,-0.03
0.13125,-0.03
0.1315,-0.0267
0.13175,-0.0267
0.132,-0.02
0.13225,-0.02
0.1325,-0.015
0.13275,-0.0167
0.133,-0.0117
0.13325,-0.0117
0.1335,-0.0167
0.13375,-0.0167
0.134,-0.0183
0.13425,-0.0167
0.1345,-0.0267
0.13475,-0.0267
0.135,-0.0333
0.13525,-0.0333
0.1355,-0.04
0.13575,-0.04
0.136,-0.045
0.13625,-0.0433
0.1365,-0.0467
0.13675,-0.0467
0.137,-0.05
0.13725,-0.05
0.1375,-0.0467
0.13775,-0.0467
0.138,-0.0383
0.13825,-0.0383
0.1385,-0.0283
0.13875,-0.0283
0.139,-0.0233
0.13925,-0.0233
0.1395,-0.0267
0.13975,-0.0233
0.14,-0.0217
0.14025,-0.0233
0.1405,-0.02
0.14075,-0.0217
0.141,-0.0183
0.14125,-0.0183
0.1415,-0.0167
0.14175,-0.0183
0.142,-0.0217
0.14225,-0.0217
0.1425,-0.0283
0.14275,-0.025
0.143,-0.015
0.14325,-0.0133
0.1435,-0.0067
0.14375,-0.005
0.144,0.0
0.14425,0.0
0.1445,0.0067
0.14475,0.0067
0.145,0.0183
0.14525,0.0167
0.1455,0.0317
0.14575,0.0333
0.146,0.0517
0.14625,0.0533
0.1465,0.0817
0.14675,0.0833
0.147,0.1283
0.14725,0.1317
0.1475,0.175
0.14775,0.195
0.148,0.0633
0.14825,0.05
0.1485,-0.04
0.14875,0.0367
0.149,0.0833
0.14925,0.08
0.1495,0.1233
0.14975,0.125
0.15,0.1417
0.15025,0.135
0.1505,0.0833
0.15075,0.08
0.151,0.005
0.15125,0.0033
0.1515,-0.0517
0.15175,-0.0517
0.152,-0.08
0.15225,-0.08
0.1525,-0.1
0.15275,-0.1
0.153,-0.1067
0.15325,-0.1067
0.1535,-0.11
0.15375,-0.1083
0.154,-0.1017
0.15425,-0.1017
0.1545,-0.095
0.15475,-0.095
0.155,-0.0833
0.15525,-0.0833
0.1555,-0.0733
0.15575,-0.0733
0.156,-0.0583
0.15625,-0.0567
0.1565,-0.0333
0.15675,-0.0317
0.157,-0.0167
0.15725,-0.0167
0.1575,-0.025
0.15775,-0.025
0.158,-0.0333
0.15825,-0.0333
0.1585,-0.0383
0.15875,-0.0383
0.159,-0.0433
0.15925,-0.0433
0.1595,-0.0383
0.15975,-0.0383
0.16,-0.0383
0.16025,-0.035
0.1605,-0.0367
0.16075,-0.03
0.161,-0.03
0.16125,-0.0233
0.1615,-0.025
0.16175,-0.02
0.162,-0.02
0.16225,-0.015
0.1625,-0.015
0.16275,-0.0083
0.163,-0.01
0.16325,-0.005
0.1635,-0.0067
0.16375,-0.0033
0.164,-0.005
0.16425,-0.0033
0.1645,-0.005
0.16475,-0.01
0.165,-0.0067
0.16525,-0.01
0.1655,-0.0067
0.16575,-0.0017
0.166,-0.0033
0.16625,0.0017
0.1665,0.0017
0.16675,0.0
0.167,0.0017
0.16725,0.0083
0.1675,0.0083
0.16775,0.015
0.168,0.015
0.16825,0.02
0.1685,0.02
0.16875,0.03
0.169,0.03
0.16925,0.0383
0.1695,0.0383
0.16975,0.0483
0.17,0.05
0.17025,0.065
0.1705,0.0667
0.17075,0.1217
0.171,0.1483
0.17125,-0.035
0.1715,-0.0567
0.17175,-0.04
0.172,-0.0383
0.17225,-0.0083
0.1725,-0.0067
0.17275,0.0067
0.173,0.0067
0.17325,0.0117
0.1735,0.01
0.17375,0.0117
0.174,0.0117
0.17425,0.0067
0.1745,0.0067
0.17475,0.01
0.175,0.01
0.17525,0.0167
0.1755,0.0183
0.17575,0.0217
0.176,0.0217
0.17625,0.0183
0.1765,0.0233
0.17675,0.0267
0.177,0.025
0.17725,0.0283
0.1775,0.0267
0.17775,0.03
0.178,0.03
0.17825,0.0383
0.1785,0.0383
0.17875,0.05
0.179,0.05
0.17925,0.0583
0.1795,0.06
0.17975,0.0633
0.18,0.0617
0.18025,0.0567
0.1805,0.0583
0.18075,0.0533
0.181,0.055
0.18125,0.0467
0.1815,0.0467
0.18175,0.0433
0.182,0.045
0.18225,0.0367
0.1825,0.0367
0.18275,0.0317
0.183,0.03
0.18325,0.0217
0.1835,0.0217
0.18375,0.0283
0.184,0.0283
0.18425,0.0317
0.1845,0.03
0.18475,0.0333
0.185,0.03
0.18525,0.0333
0.1855,0.0333
0.18575,0.0383
0.186,0.0383
0.18625,0.0467
0.1865,0.0467
0.18675,0.0533
0.187,0.055
0.18725,0.0633
0.1875,0.065
0.18775,0.0783
0.188,0.08
0.18825,0.075
0.1885,0.0767
0.18875,0.085
0.189,0.085
0.18925,0.075
0.1895,0.0733
0.18975,0.055
0.19,0.055
0.19025,0.0317
0.1905,0.03
0.19075,0.0167
0.191,0.015
0.19125,-0.0633
0.1915,-0.0783
0.19175,-0.0567
0.192,-0.055
0.19225,-0.03
0.1925,-0.03
0.19275,0.0133
0.193,0.015
0.19325,0.08
0.1935,0.08
0.19375,0.0967
0.194,0.0983
0.19425,0.08
0.1945,0.0783
0.19475,0.045
0.195,0.0433
0.19525,0.025
0.1955,0.0233
0.19575,0.0167
0.196,0.0167
0.19625,0.0133
0.1965,0.015
0.19675,0.0
0.197,-0.0017
0.19725,-0.0183
0.1975,-0.0233
0.19775,-0.0017
0.198,0.0017
0.19825,0.0967
0.1985,0.1
