x_value,total_1,total_2
0,1000,1000
1,999,995
2,996,1001
3,996,997
4,1004,1000
5,1009,1002
6,1005,997
7,999,998
8,999,998
9,1006,993
10,1002,998
11,997,1000
12,1002,998
13,1003,1001
14,1002,999
15,1009,996
16,1012,991
17,1012,988
18,1015,992
19,1017,990
20,1015,988
21,1012,988
22,1012,994
23,1006,990
24,1011,995
25,1016,997
26,1017,997
27,1011,999
28,1018,1002
29,1024,1007
30,1031,1004
31,1032,1007
32,1031,1013
33,1031,1012
34,1033,1015
35,1031,1010
36,1036,1016
37,1030,1022
